movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
Maid in Manhattan,Revolution Studios,55000000.0,18711407.0,2002-12-13,PG-13,105.0,"['Comedy', 'Drama', 'Romance']","[['Domestic', 94011225], ['International', 60895468], ['Worldwide', 154906693]]","['Wayne Wang', 'John Hughes', 'Kevin Wade', 'Elaine Goldsmith-Thomas', 'Paul Schiff', 'Deborah Schindler', 'Alan Silvestri', 'Karl Walter Lindenlaub', 'Craig McKay', 'Jane Musky']","['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson', 'Stanley Tucci']"
He's Just Not That Into You,Warner Bros.,,27785487.0,2009-02-05,PG-13,129.0,"['Comedy', 'Drama', 'Romance']","[['Domestic', 93953653], ['International', 84912505], ['Worldwide', 178866158]]","['Ken Kwapis', 'Abby Kohn', 'Marc Silverstein', 'Greg Behrendt', 'Liz Tuccillo', 'Nancy Juvonen', 'Cliff Eidelman', 'John Bailey', 'Cara Silverman', 'Gae S. Buckley']","['Ginnifer Goodwin', 'Jennifer Aniston', 'Jennifer Connelly', 'Morgan Lily']"
Master and Commander: The Far Side of the World,Twentieth Century Fox,150000000.0,25105990.0,2003-11-14,PG-13,138.0,"['Action', 'Adventure', 'Drama', 'History', 'War']","[['Domestic', 93927920], ['International', 117694615], ['Worldwide', 211622535]]","['Peter Weir', ""Patrick O'Brian"", 'Peter Weir', 'John Collee', 'Samuel Goldwyn Jr.', 'Duncan Henderson', 'Peter Weir', 'Iva Davies', 'Christopher Gordon', 'Richard Tognetti', 'Russell Boyd', 'Lee Smith', 'William Sandell']","['Russell Crowe', 'Paul Bettany', 'Billy Boyd', ""James D'Arcy""]"
Flight,Paramount Pictures,31000000.0,24900566.0,2012-11-02,R,138.0,"['Drama', 'Thriller']","[['Domestic', 93772375], ['International', 68000000], ['Worldwide', 161772375]]","['Robert Zemeckis', 'John Gatins', 'Laurie MacDonald', 'Walter F. Parkes', 'Jack Rapke', 'Steve Starkey', 'Robert Zemeckis', 'Alan Silvestri', 'Don Burgess', ""Jeremiah O'Driscoll"", 'Nelson Coates']","['Denzel Washington', 'Nadine Velazquez', 'Don Cheadle', 'John Goodman']"
The Fighter,Paramount Pictures,25000000.0,300010.0,2009-11-20,R,116.0,"['Biography', 'Drama', 'Sport']","[['Domestic', 93617009], ['International', 35573860], ['Worldwide', 129190869]]","['David O. Russell', 'Scott Silver', 'Paul Tamasy', 'Eric Johnson', 'Paul Tamasy', 'Eric Johnson', 'Keith Dorrington', 'Dorothy Aufiero', 'David Hoberman', 'Ryan Kavanaugh', 'Todd Lieberman', 'Paul Tamasy', 'Mark Wahlberg', 'Michael Brook', 'Hoyte Van Hoytema', 'Pamela Martin', 'Judy Becker']","['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']"
America's Sweethearts,Revolution Studios,46000000.0,30181877.0,2001-07-20,PG-13,102.0,"['Comedy', 'Romance']","[['Domestic', 93607673], ['International', 44700000], ['Worldwide', 138307673]]","['Joe Roth', 'Billy Crystal', 'Peter Tolan', 'Susan Arnold', 'Billy Crystal', 'Donna Roth', 'James Newton Howard', 'Phedon Papamichael', 'Stephen A. Rotter', 'Garreth Stover']","['Julia Roberts', 'John Cusack', 'Billy Crystal', 'Catherine Zeta-Jones']"
Lady and the Tramp,Walt Disney Studios Motion Pictures,4000000.0,,1955-06-22,G,76.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Romance']","[['Domestic', 93602326], ['International', 331068], ['Worldwide', 93933394]]","['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Cutting', 'Ward Greene', 'Erdman Penner', 'Joe Rinaldi', 'Ralph Wright', 'Don DaGradi', 'Joe Grant', 'Dick Huemer', 'Louis Pollock', 'Frank Tashlin', 'Sam Cobean', 'Oliver Wallace', 'Donald Halliday']","['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson']"
The Bucket List,Warner Bros.,45000000.0,335837.0,2007-12-25,PG-13,97.0,"['Adventure', 'Comedy', 'Drama']","[['Domestic', 93466502], ['International', 81906000], ['Worldwide', 175372502]]","['Rob Reiner', 'Justin Zackham', 'Alan Greisman', 'Neil Meron', 'Rob Reiner', 'Craig Zadan', 'Marc Shaiman', 'John Schwartzman', 'Robert Leighton', 'Bill Brzeski']","['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes', 'Beverly Todd']"
Tomorrowland,Walt Disney Studios Motion Pictures,190000000.0,33028165.0,2015-05-20,PG,130.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']","[['Domestic', 93436322], ['International', 115599346], ['Worldwide', 209035668]]","['Brad Bird', 'Damon Lindelof', 'Brad Bird', 'Damon Lindelof', 'Brad Bird', 'Jeff Jensen', 'Brad Bird', 'Jeffrey Chernov', 'Damon Lindelof', 'Michael Giacchino', 'Claudio Miranda', 'Walter Murch', 'Craig Wood', 'Scott Chambliss']","['George Clooney', 'Britt Robertson', 'Hugh Laurie', 'Raffey Cassidy']"
The Magnificent Seven,Sony Pictures Entertainment (SPE),90000000.0,34703397.0,2016-09-14,PG-13,132.0,"['Action', 'Adventure', 'Western']","[['Domestic', 93432655], ['International', 68927981], ['Worldwide', 162360636]]","['Antoine Fuqua', 'Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni', 'Nic Pizzolatto', 'Richard Wenk', 'Roger Birnbaum', 'Todd Black', 'Simon Franglen', 'James Horner', 'Mauro Fiore', 'John Refoua', 'Derek R. Hill']","['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio""]"
